"No.","Time","Source","Destination","Protocol","Length","Info"
"21531","35.794288","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21532","35.794288","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21533","35.794288","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21534","35.794597","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21535","35.794597","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21536","35.794597","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21537","35.794597","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21538","35.794597","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21539","35.794597","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21540","35.794597","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21541","35.794597","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21542","35.794829","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21543","35.796932","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21544","35.796932","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21545","35.796932","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21546","35.796932","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21547","35.796932","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21548","35.796932","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21549","35.796932","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21550","35.796932","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21551","35.796932","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
