"No.","Time","Source","Destination","Protocol","Length","Info"
"22976","36.489573","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22977","36.489573","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22978","36.489573","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22979","36.489573","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22980","36.489573","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22981","36.489573","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22982","36.489809","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"22983","36.491858","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"22984","36.495394","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22985","36.495394","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22986","36.495394","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22987","36.495394","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22988","36.495394","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22989","36.495394","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22990","36.495394","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22991","36.495394","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22992","36.495394","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22993","36.503355","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"22994","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22995","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22996","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22997","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22998","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"22999","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23000","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23001","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23002","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23003","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23004","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23005","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23006","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23007","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23008","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23009","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23010","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23011","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23012","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23013","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23014","36.510349","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23015","36.510758","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23016","36.510923","192.168.2.20","184.150.37.140","UDP","76","59673  >  443 Len=34"
"23017","36.519972","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23018","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23019","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23020","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23021","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23022","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23023","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23024","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23025","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23026","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23027","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23028","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23029","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23030","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23031","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23032","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23033","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23034","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23035","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23036","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23037","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23038","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23039","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23040","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23041","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23042","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23043","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23044","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23045","36.525943","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
